Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2620000,1.31446,3.730838,999.0,38.422311663627625,38.422311663627625,1.0
2630000,1.3146542,3.777691,999.0,36.554038397967815,36.554038397967815,1.0
2640000,1.3147916,3.6750162,999.0,37.930158108472824,37.930158108472824,1.0
2650000,1.314901,3.730262,999.0,37.39380011707544,37.39380011707544,1.0
2660000,1.3150228,3.8536346,999.0,42.09176129102707,42.09176129102707,1.0
2670000,1.3148203,3.849977,999.0,37.7492675408721,37.7492675408721,1.0
2680000,1.3144957,3.8363297,999.0,37.48349632322788,37.48349632322788,1.0
2690000,1.3141342,3.7510314,999.0,35.987427428364754,35.987427428364754,1.0
2700000,1.3132325,3.9032567,999.0,38.425660625100136,38.425660625100136,1.0
2710000,1.3129672,3.7149558,999.0,37.826842214912176,37.826842214912176,1.0
2720000,1.3117969,3.8728476,999.0,37.473277238197625,37.473277238197625,1.0
2730000,1.3117537,3.845338,999.0,38.3893541097641,38.3893541097641,1.0
2740000,1.3112985,3.8874154,999.0,35.79918396472931,35.79918396472931,1.0
2750000,1.3112985,3.8541374,999.0,43.65455764532089,43.65455764532089,1.0
2760000,1.3104417,3.8621438,999.0,35.8059689514339,35.8059689514339,1.0
2770000,1.310423,3.8680768,999.0,37.985434144735336,37.985434144735336,1.0
2780000,1.3095101,3.793321,999.0,36.58938492834568,36.58938492834568,1.0
2790000,1.3093871,3.8387241,999.0,36.80295076966286,36.80295076966286,1.0
2800000,1.309043,3.6760404,999.0,34.183170679956675,34.183170679956675,1.0
2810000,1.3089521,3.9317896,999.0,41.53476184606552,41.53476184606552,1.0
2820000,1.3086607,3.8066967,999.0,43.9000633507967,43.9000633507967,1.0
2830000,1.3085195,3.821916,999.0,30.00361371668987,30.00361371668987,1.0
2840000,1.3083544,3.802966,999.0,36.74323291704059,36.74323291704059,1.0
2850000,1.308237,3.912547,999.0,42.83628862723708,42.83628862723708,1.0
2860000,1.3078322,3.9228024,999.0,42.994222581386566,42.994222581386566,1.0
2870000,1.3074043,3.7970436,999.0,37.323301523923874,37.323301523923874,1.0
2880000,1.3070807,3.861754,999.0,39.311409670859575,39.311409670859575,1.0
2890000,1.3065358,3.7285874,999.0,35.08425299823284,35.08425299823284,1.0
2900000,1.3063666,3.7857716,999.0,37.36780121922493,37.36780121922493,1.0
2910000,1.3059465,3.7179306,999.0,38.26013641059399,38.26013641059399,1.0
2920000,1.305958,3.9482064,999.0,37.71656478848308,37.71656478848308,1.0
